coord/lon,coord/lat,weather/0/id,weather/0/main,weather/0/description,weather/0/icon,base,main/temp,main/feels_like,main/temp_min,main/temp_max,main/pressure,main/humidity,visibility,wind/speed,wind/deg,clouds/all,dt,sys/type,sys/id,sys/country,sys/sunrise,sys/sunset,timezone,id,name,cod,rain/1h,weather/1/id,weather/1/main,weather/1/description,weather/1/icon,wind/gust,main/sea_level,main/grnd_level,message,snow/1h,snow/3h
68.5944,58.1286,804,Clouds,overcast clouds,04n,stations,256.28,250.65,256.28,256.28,1033,93,10000,3.05,204,100,1610118264,,,RU,1610078860,1610103389,18000,1512223,Abalak,200,,,,,,,1033,1020,,,
-58.5796,-34.426,800,Clear,clear sky,01d,stations,301.06,299.37,299.82,302.15,1012,42,10000,4.12,50,0,1610118264,1,8232,AR,1610095886,1610147424,-10800,3427761,Tigre,200,,,,,,,,,,,
150.1429,-5.5502,804,Clouds,overcast clouds,04n,stations,298.62,303.33,298.62,298.62,1006,86,10000,0.73,154,100,1610118264,,,PG,1610135612,1610180332,36000,2093967,Kimbe,200,,,,,,,1006,1005,,,
115.65,34.45,800,Clear,clear sky,01n,stations,270.37,265.57,270.37,270.37,1024,38,10000,2.04,250,0,1610118264,3,2019584,CN,1610061869,1610097786,28800,1783934,Shangqiu,200,,,,,,,,,,,
-67.5,-45.8667,800,Clear,clear sky,01d,stations,294.15,289.58,294.15,294.15,1010,37,10000,5.14,250,0,1610117885,1,8284,AR,1610095888,1610151705,-10800,3860443,Comodoro Rivadavia,200,,,,,,,,,,,
2.6036,6.4965,801,Clouds,few clouds,02d,stations,303.15,306.21,303.15,303.15,1009,79,10000,5.66,210,20,1610118264,1,1119,BJ,1610085790,1610128144,3600,2392087,Porto-Novo,200,,,,,,,,,,,
27.6833,47.1167,800,Clear,clear sky,01n,stations,276,272.2,275.93,276.15,1013,81,10000,2.57,30,0,1610118265,1,6916,RO,1610085259,1610116632,7200,664819,Tomeşti,200,,,,,,,,,,,
100.4517,38.9342,802,Clouds,scattered clouds,03n,stations,260.54,256.35,260.54,260.54,1034,69,10000,1.02,167,49,1610118265,,,CN,1610066216,1610100737,28800,1785036,Zhangye,200,,,,,,,1034,854,,,
161.9205,-10.4544,501,Rain,moderate rain,10n,stations,299.82,302.57,299.82,299.82,1006,82,10000,3.84,320,100,1610118265,,,SB,1610132292,1610177997,39600,2178753,Kirakira,200,1.813,,,,,,1006,1004,,,
-66.1,-10.9833,803,Clouds,broken clouds,04d,stations,300.15,304.78,300.15,300.15,1015,78,10000,0.74,276,75,1610118265,1,8629,BO,1610100551,1610146370,-14400,3906466,Riberalta,200,,,,,,,,,,,
100.8374,17.1006,800,Clear,clear sky,01n,stations,294.62,294.93,294.62,294.62,1014,66,10000,1.79,62,6,1610118265,,,TH,1610063292,1610103475,25200,1608524,Nakhon Thai,200,,,,,,,1014,990,,,
29.7487,70.0744,803,Clouds,broken clouds,04n,stations,265.99,256.8,264.15,267.15,1022,79,10000,8.75,220,75,1610118265,1,1682,NO,0,0,3600,777073,Vadsø,200,,,,,,,,,,,
-101.6667,21.1167,803,Clouds,broken clouds,04d,stations,280.15,277.16,280.15,280.15,1028,65,10000,1.63,139,75,1610118099,1,7133,MX,1610112339,1610151659,-21600,3998655,León,200,,,,,,,,,,,
-4.6339,55.4627,800,Clear,clear sky,01d,stations,274.04,270.55,273.15,275.37,1023,74,10000,1.54,110,0,1610118120,1,1444,GB,1610095372,1610122037,0,2656708,Ayr,200,,,,,,,,,,,
137.7667,-32.5,800,Clear,clear sky,01n,stations,294.16,290.76,293.71,295.15,1017,60,10000,6.17,190,0,1610118266,1,9613,AU,1610135475,1610186411,37800,2063056,Port Augusta,200,,,,,,,,,,,
116.1167,-8.5833,500,Rain,light rain,10n,stations,298.15,303.58,298.15,298.15,1008,100,6000,1.42,232,75,1610118266,1,9337,ID,1610057048,1610102384,28800,1635882,Mataram,200,0.27,,,,,,,,,,
-84.9702,34.7698,500,Rain,light rain,10d,stations,275.82,273.56,275.37,275.93,1016,97,10000,0.89,49,100,1610118181,3,2004541,US,1610110064,1610145917,-18000,4190581,Dalton,200,0.49,,,,,1.79,,,,,
108.2208,16.0678,500,Rain,light rain,10n,stations,291.15,291.64,291.15,291.15,1020,82,7000,1.54,340,75,1610118266,1,9306,VN,1610061410,1610101812,25200,1583992,Turan,200,0.76,,,,,,,,,,
90.9667,24.0667,721,Haze,haze,50n,stations,296.15,295.9,296.15,296.15,1012,60,3500,2.57,270,0,1610118266,1,9145,BD,1610066440,1610105067,21600,1185263,Bhairab Bāzār,200,,,,,,,,,,,
-75.4557,43.2128,804,Clouds,overcast clouds,04d,stations,265.7,261.1,264.82,266.48,1022,73,10000,2.06,320,90,1610118124,1,5681,US,1610109194,1610142219,-18000,5134295,Rome,200,,,,,,,,,,,
131.1683,62.6683,803,Clouds,broken clouds,04n,stations,229.2,224.4,229.2,229.2,1016,76,10000,1.18,22,66,1610118266,,,RU,1610152641,1610172413,32400,2026160,Borogontsy,200,,,,,,,1016,997,,,
-1.7833,57.4667,804,Clouds,overcast clouds,04d,stations,273.48,267.17,273.15,274.15,1021,80,10000,5.66,280,98,1610118267,1,1440,GB,1610095459,1610120581,0,2655288,Boddam,200,,,,,,,,,,,
16.7667,60.6167,804,Clouds,overcast clouds,04n,stations,271.49,268.56,270.93,272.04,1020,95,557,0.89,315,90,1610118048,3,20702,SE,1610092504,1610114629,3600,2680075,Sandviken,200,,,,,,1.79,,,,,
80.2644,41.1231,803,Clouds,broken clouds,04n,stations,262.71,258.88,262.71,262.71,1039,87,10000,0.89,134,69,1610118267,,,CN,1610071439,1610105207,28800,1529660,Aksu,200,,,,,,,1039,903,,,
