coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,message,snow
"{'lon': -54.3333, 'lat': -34.4833}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 301.05, 'feels_like': 299.81, 'temp_min': 301.05, 'temp_max': 301.05, 'pressure': 1011, 'humidity': 50, 'sea_level': 1011, 'grnd_level': 1007}",10000.0,"{'speed': 4.89, 'deg': 183}",{'all': 0},1610118197.0,"{'country': 'UY', 'sunrise': 1610094858, 'sunset': 1610146413}",-10800.0,3440777.0,Rocha,200,,,
"{'lon': -139.0333, 'lat': -9.8}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 298.29, 'feels_like': 296.34, 'temp_min': 298.29, 'temp_max': 298.29, 'pressure': 1013, 'humidity': 78, 'sea_level': 1013, 'grnd_level': 1005}",10000.0,"{'speed': 8.78, 'deg': 84}",{'all': 21},1610118148.0,"{'country': 'PF', 'sunrise': 1610118182, 'sunset': 1610163757}",-34200.0,4020109.0,Atuona,200,,,
"{'lon': -159.319, 'lat': 22.0752}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 291.15, 'feels_like': 290.65, 'temp_min': 291.15, 'temp_max': 291.15, 'pressure': 1018, 'humidity': 94}",10000.0,"{'speed': 4.12, 'deg': 280}",{'all': 1},1610118138.0,"{'type': 1, 'id': 7873, 'country': 'US', 'sunrise': 1610126285, 'sunset': 1610165394}",-36000.0,5848280.0,Kapaa,200,,,
"{'lon': 5.75, 'lat': 5.5167}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 303.96, 'feels_like': 306.57, 'temp_min': 303.96, 'temp_max': 303.96, 'pressure': 1008, 'humidity': 62, 'sea_level': 1008, 'grnd_level': 1007}",10000.0,"{'speed': 3.5, 'deg': 241}",{'all': 77},1610118197.0,"{'country': 'NG', 'sunrise': 1610084938, 'sunset': 1610127485}",3600.0,2319133.0,Warri,200,{'1h': 0.26},,
,,,,,,,,,,,,404,,city not found,
"{'lon': -69.4333, 'lat': -15.4667}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 280.68, 'feels_like': 276.54, 'temp_min': 280.68, 'temp_max': 280.68, 'pressure': 1020, 'humidity': 81, 'sea_level': 1020, 'grnd_level': 646}",10000.0,"{'speed': 4.16, 'deg': 228}",{'all': 97},1610118197.0,"{'country': 'PE', 'sunrise': 1610100881, 'sunset': 1610147640}",-18000.0,3931137.0,Putina,200,{'1h': 0.16},,
"{'lon': 147.0587, 'lat': -42.7826}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 286.51, 'feels_like': 284.96, 'temp_min': 284.82, 'temp_max': 288.15, 'pressure': 1023, 'humidity': 77}",10000.0,"{'speed': 2.06, 'deg': 120}",{'all': 90},1610118134.0,"{'type': 1, 'id': 9545, 'country': 'AU', 'sunrise': 1610131489, 'sunset': 1610185936}",39600.0,2155415.0,New Norfolk,200,,,
"{'lon': 20.0403, 'lat': -34.5322}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 298.15, 'feels_like': 295.71, 'temp_min': 298.15, 'temp_max': 298.15, 'pressure': 1012, 'humidity': 53}",10000.0,"{'speed': 5.66, 'deg': 190}",{'all': 5},1610118140.0,"{'type': 1, 'id': 1966, 'country': 'ZA', 'sunrise': 1610076990, 'sunset': 1610128572}",7200.0,1015776.0,Bredasdorp,200,,,
"{'lon': 123.3711, 'lat': 66.7697}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 234.35, 'feels_like': 229.07, 'temp_min': 234.35, 'temp_max': 234.35, 'pressure': 1015, 'humidity': 82, 'sea_level': 1015, 'grnd_level': 1008}",2256.0,"{'speed': 1.9100000000000001, 'deg': 151}",{'all': 100},1610118149.0,"{'country': 'RU', 'sunrise': 1610158433, 'sunset': 1610170365}",32400.0,2012530.0,Zhigansk,200,,,
"{'lon': -71.3436, 'lat': -29.9533}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 289.15, 'feels_like': 287.53, 'temp_min': 289.15, 'temp_max': 289.15, 'pressure': 1018, 'humidity': 88}",10000.0,"{'speed': 4.12, 'deg': 270}",{'all': 90},1610118116.0,"{'type': 1, 'id': 8514, 'country': 'CL', 'sunrise': 1610099601, 'sunset': 1610149837}",-10800.0,3893629.0,Coquimbo,200,,,
