coord/lon,coord/lat,weather/0/id,weather/0/main,weather/0/description,weather/0/icon,base,main/temp,main/feels_like,main/temp_min,main/temp_max,main/pressure,main/humidity,visibility,wind/speed,wind/deg,clouds/all,dt,sys/type,sys/id,sys/country,sys/sunrise,sys/sunset,timezone,id,name,cod,main/sea_level,main/grnd_level,wind/gust,rain/1h,message,snow/1h,weather/1/id,weather/1/main,weather/1/description,weather/1/icon
147.0587,-42.7826,803,Clouds,broken clouds,04n,stations,286.03,284.39,285.37,287.04,1017,66,10000,1.25,271,66,1610213147,3,2031307,AU,1610217954,1610272320,39600,2155415,New Norfolk,200,,,,,,,,,,
125.2833,24.8,804,Clouds,overcast clouds,04n,stations,287.28,280.21,287.28,287.28,1024,68,10000,9.54,22,97,1610213148,,,JP,1610231103,1610269626,32400,1862505,Hirara,200,1024,1022,,,,,,,,
19.2345,-34.4187,800,Clear,clear sky,01d,stations,294.26,294.08,294.26,294.26,1012,73,10000,3.13,314,7,1610213148,3,2006131,ZA,1610163654,1610215144,7200,3366880,Hermanus,200,,,6.71,,,,,,,
-127.4199,50.6996,803,Clouds,broken clouds,04d,stations,279.54,267.47,279.15,280.15,1019,75,10000,14.92,110,75,1610213148,1,1011,CA,1610209726,1610239486,-28800,6111862,Port Hardy,200,,,19.55,,,,,,,
141.9667,-38.2667,804,Clouds,overcast clouds,04n,stations,287.15,285.17,287.15,287.15,1018,77,10000,2.9,97,98,1610213148,,,AU,1610220013,1610272705,39600,2171099,Codrington,200,1018,1017,,,,,,,,
-37.6368,65.6145,802,Clouds,scattered clouds,03n,stations,263.15,257.8,263.15,263.15,1019,48,10000,2.57,200,40,1610213148,1,81,GL,1610195580,1610210524,-10800,3424607,Tasiilaq,200,,,,,,,,,,
-73.8203,-41.8697,500,Rain,light rain,10d,stations,283.9,275.4,280.93,287.15,1007,72,10000,10.8,320,75,1610213148,1,8512,CL,1610184720,1610238756,-10800,3899695,Ancud,200,,,,0.37,,,300,Drizzle,light intensity drizzle,09d
-156.47,20.8947,802,Clouds,scattered clouds,03d,stations,292.86,293.3,290.93,294.15,1017,73,10000,1.54,90,40,1610213148,1,7879,US,1610211878,1610251282,-36000,5847411,Kahului,200,,,,,,,,,,
31.7669,-2.6378,500,Rain,light rain,10n,stations,292.69,292.92,292.69,292.69,1010,86,10000,3.15,172,100,1610213148,,,TZ,1610164318,1610208463,10800,160552,Chato,200,1010,885,,0.3,,,,,,
-92.1933,14.5094,801,Clouds,few clouds,02d,stations,301.68,305.03,301.15,302.15,1015,70,10000,2.32,194,20,1610213148,1,7171,GT,1610195769,1610236529,-21600,3592086,Ocós,200,,,,,,,,,,
20.0403,-34.5322,800,Clear,clear sky,01d,stations,296.15,291.28,296.15,296.15,1011,49,10000,7.72,300,0,1610213149,1,1966,ZA,1610163443,1610214968,7200,1015776,Bredasdorp,200,,,,,,,,,,
100.3354,5.4112,801,Clouds,few clouds,02n,stations,299.41,303.45,298.71,300.15,1009,78,9000,1.03,0,20,1610213075,1,9429,MY,1610235063,1610277644,28800,1735106,George Town,200,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,,,
-4.9998,34.0372,500,Rain,light rain,10d,stations,281.15,276.05,281.15,281.15,1008,81,10000,5.66,280,40,1610213149,1,2390,MA,1610177162,1610213271,3600,2548885,Fes,200,,,,0.29,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,,,
-126.8329,65.282,803,Clouds,broken clouds,04n,stations,256.15,251.88,256.15,256.15,1007,85,10000,1.03,0,75,1610213149,1,951,CA,1610216610,1610232320,-25200,6089245,Norman Wells,200,,,,,,,,,,
-124.1573,40.5982,800,Clear,clear sky,01d,stations,279.37,275.62,277.15,280.93,1026,100,10000,4.12,160,1,1610213149,1,4127,US,1610206790,1610240855,-28800,5563839,Fortuna,200,,,,,,,,,,
2.7539,36.2642,803,Clouds,broken clouds,04n,stations,286.15,286.07,286.15,286.15,1008,94,8000,1.03,0,75,1610213149,1,1060,DZ,1610175631,1610211080,3600,2488835,Médéa,200,,,,,,,,,,
-72.0662,-45.5752,500,Rain,light rain,10d,stations,285.15,282.4,285.15,285.15,996,66,10000,2.57,0,90,1610213149,1,8491,CL,1610183522,1610239113,-10800,3894426,Coyhaique,200,,,,0.54,,,,,,
46.3833,-25.0333,801,Clouds,few clouds,02n,stations,300.15,299.05,300.15,300.15,1007,83,10000,9.77,80,20,1610213150,1,2147,MG,1610158417,1610207346,10800,1081790,Amboasary,200,,,15.95,,,,,,,
67.7975,66.5606,804,Clouds,overcast clouds,04n,stations,249.73,242.05,249.73,249.73,1033,90,1972,5.65,24,96,1610213150,,,RU,1610171451,1610184030,18000,1512019,Aksarka,200,1033,1030,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,,,
